"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 17:40:33 GMT 2024","Wed Jul 24 17:40:33 GMT 2024","104","tests.pet_store","test_user","","","","test_login",""
"passed","Wed Jul 24 17:40:30 GMT 2024","Wed Jul 24 17:40:32 GMT 2024","2864","tests.para_bank","test_para_bank_register","","","","test_register","The objective of this test is to verify the registration flow"
"passed","Wed Jul 24 17:40:32 GMT 2024","Wed Jul 24 17:40:33 GMT 2024","89","tests.pet_store","test_user","","","","test_create_user",""
