"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 06:26:55 GMT 2024","Mon Apr 15 06:26:56 GMT 2024","640","tests.swag_labs.login","test_login","","","","test_login","
    This test validates the login functionality
    of the application.
    "
"passed","Mon Apr 15 06:26:46 GMT 2024","Mon Apr 15 06:26:47 GMT 2024","671","tests.para_bank","test_para_bank_login","","","","test_login_form","The objective of this test is to verify the ui elements of the login form"
"passed","Mon Apr 15 06:26:52 GMT 2024","Mon Apr 15 06:26:53 GMT 2024","871","tests.swag_labs.cart","test_cart","","","","test_remove_item_from_cart","
    This test validates the flow of removing items from the cart
    "
"passed","Mon Apr 15 06:26:48 GMT 2024","Mon Apr 15 06:26:51 GMT 2024","2415","tests.para_bank","test_para_bank_register","","","","test_register","The objective of this test is to verify the registration flow"
"passed","Mon Apr 15 06:26:54 GMT 2024","Mon Apr 15 06:26:54 GMT 2024","726","tests.swag_labs.inventory","test_inventory","","","","test_inventory_add_to_cart_button","
    This test verifies the functionality of add to cart button
    "
"passed","Mon Apr 15 06:26:57 GMT 2024","Mon Apr 15 06:26:58 GMT 2024","799","tests.swag_labs.login","test_login","","","","test_fail_login","
    this test will fail if ran without healenium
    and will pass if ran with healenium
    "
