"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 14:54:06 GMT 2024","Fri Aug 02 14:54:06 GMT 2024","284","tests.pet_store","test_user","","","","test_create_user",""
"passed","Fri Aug 02 14:54:06 GMT 2024","Fri Aug 02 14:54:07 GMT 2024","245","tests.pet_store","test_user","","","","test_login",""
"passed","Fri Aug 02 14:54:04 GMT 2024","Fri Aug 02 14:54:06 GMT 2024","2163","tests.para_bank","test_para_bank_register","","","","test_register","The objective of this test is to verify the registration flow"
