"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 06:38:40 GMT 2024","Mon Apr 15 06:38:41 GMT 2024","842","tests.swag_labs.inventory","test_inventory","","","","test_inventory_add_to_cart_button","
    This test verifies the functionality of add to cart button
    "
"passed","Mon Apr 15 06:38:44 GMT 2024","Mon Apr 15 06:38:45 GMT 2024","881","tests.swag_labs.login","test_login","","","","test_fail_login","
    this test will fail if ran without healenium
    and will pass if ran with healenium
    "
"passed","Mon Apr 15 06:38:34 GMT 2024","Mon Apr 15 06:38:37 GMT 2024","2330","tests.para_bank","test_para_bank_register","","","","test_register","The objective of this test is to verify the registration flow"
"passed","Mon Apr 15 06:38:38 GMT 2024","Mon Apr 15 06:38:39 GMT 2024","953","tests.swag_labs.cart","test_cart","","","","test_remove_item_from_cart","
    This test validates the flow of removing items from the cart
    "
"passed","Mon Apr 15 06:38:42 GMT 2024","Mon Apr 15 06:38:43 GMT 2024","656","tests.swag_labs.login","test_login","","","","test_login","
    This test validates the login functionality
    of the application.
    "
"passed","Mon Apr 15 06:38:32 GMT 2024","Mon Apr 15 06:38:33 GMT 2024","1160","tests.para_bank","test_para_bank_login","","","","test_login_form","The objective of this test is to verify the ui elements of the login form"
