"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 15:15:24 GMT 2024","Fri Apr 12 15:15:25 GMT 2024","874","tests.swag_labs.login","test_login","","","","test_fail_login","
    this test will fail if ran without healenium
    and will pass if ran with healenium
    "
"passed","Fri Apr 12 15:15:22 GMT 2024","Fri Apr 12 15:15:23 GMT 2024","679","tests.swag_labs.login","test_login","","","","test_login","
    This test validates the login functionality
    of the application.
    "
