"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 06:36:56 GMT 2024","Mon Apr 15 06:36:59 GMT 2024","2615","tests.para_bank","test_para_bank_register","","","","test_register","The objective of this test is to verify the registration flow"
"passed","Mon Apr 15 06:37:04 GMT 2024","Mon Apr 15 06:37:04 GMT 2024","626","tests.swag_labs.login","test_login","","","","test_login","
    This test validates the login functionality
    of the application.
    "
"passed","Mon Apr 15 06:37:00 GMT 2024","Mon Apr 15 06:37:01 GMT 2024","858","tests.swag_labs.cart","test_cart","","","","test_remove_item_from_cart","
    This test validates the flow of removing items from the cart
    "
"passed","Mon Apr 15 06:36:54 GMT 2024","Mon Apr 15 06:36:55 GMT 2024","943","tests.para_bank","test_para_bank_login","","","","test_login_form","The objective of this test is to verify the ui elements of the login form"
"passed","Mon Apr 15 06:37:02 GMT 2024","Mon Apr 15 06:37:03 GMT 2024","758","tests.swag_labs.inventory","test_inventory","","","","test_inventory_add_to_cart_button","
    This test verifies the functionality of add to cart button
    "
"passed","Mon Apr 15 06:37:05 GMT 2024","Mon Apr 15 06:37:06 GMT 2024","796","tests.swag_labs.login","test_login","","","","test_fail_login","
    this test will fail if ran without healenium
    and will pass if ran with healenium
    "
